"cnty_fips","display_name","Value","theme_range"
53057,"""Skagit, (WA)""",131.1,"28.1 - 147.3 (644)"
53059,"""Skamania, (WA)""",131.8,"28.1 - 147.3 (644)"
53061,"""Snohomish, (WA)""",130.2,"28.1 - 147.3 (644)"
53067,"""Thurston, (WA)""",135.2,"28.1 - 147.3 (644)"
53069,"""Wahkiakum, (WA)""",170.9,"167.7 - 186.9 (647)"
53073,"""Whatcom, (WA)""",125.2,"28.1 - 147.3 (644)"
53077,"""Yakima, (WA)""",186.2,"167.7 - 186.9 (647)"
04001,"""Apache, (AZ)""",141.8,"28.1 - 147.3 (644)"
04003,"""Cochise, (AZ)""",156.3,"147.4 - 167.6 (641)"
04005,"""Coconino, (AZ)""",126.7,"28.1 - 147.3 (644)"
04007,"""Gila, (AZ)""",164.8,"147.4 - 167.6 (641)"
04009,"""Graham, (AZ)""",147.4,"147.4 - 167.6 (641)"
04011,"""Greenlee, (AZ)""",156.8,"147.4 - 167.6 (641)"
04012,"""La Paz, (AZ)""",178,"167.7 - 186.9 (647)"
04013,"""Maricopa, (AZ)""",133.6,"28.1 - 147.3 (644)"
04015,"""Mohave, (AZ)""",223.5,"216.7 - 502.5 (641)"
04017,"""Navajo, (AZ)""",140.8,"28.1 - 147.3 (644)"
04019,"""Pima, (AZ)""",138.4,"28.1 - 147.3 (644)"
04021,"""Pinal, (AZ)""",121.5,"28.1 - 147.3 (644)"
04023,"""Santa Cruz, (AZ)""",126.7,"28.1 - 147.3 (644)"
04025,"""Yavapai, (AZ)""",140.7,"28.1 - 147.3 (644)"
04027,"""Yuma, (AZ)""",129.9,"28.1 - 147.3 (644)"
06003,"""Alpine, (CA)""",160.3,"147.4 - 167.6 (641)"
06019,"""Fresno, (CA)""",168.1,"167.7 - 186.9 (647)"
06025,"""Imperial, (CA)""",137.8,"28.1 - 147.3 (644)"
06027,"""Inyo, (CA)""",164.3,"147.4 - 167.6 (641)"
06029,"""Kern, (CA)""",195.5,"187.0 - 216.6 (634)"
06037,"""Los Angeles, (CA)""",149.3,"147.4 - 167.6 (641)"
06039,"""Madera, (CA)""",149.5,"147.4 - 167.6 (641)"
06051,"""Mono, (CA)""",123.7,"28.1 - 147.3 (644)"
06059,"""Orange, (CA)""",130.8,"28.1 - 147.3 (644)"
06065,"""Riverside, (CA)""",173.1,"167.7 - 186.9 (647)"
06071,"""San Bernardino, (CA)""",185.3,"167.7 - 186.9 (647)"
06073,"""San Diego, (CA)""",129.1,"28.1 - 147.3 (644)"
06107,"""Tulare, (CA)""",187.6,"187.0 - 216.6 (634)"
06111,"""Ventura, (CA)""",131.3,"28.1 - 147.3 (644)"
08007,"""Archuleta, (CO)""",124.9,"28.1 - 147.3 (644)"
08029,"""Delta, (CO)""",162,"147.4 - 167.6 (641)"
08033,"""Dolores, (CO)""",116.1,"28.1 - 147.3 (644)"
08045,"""Garfield, (CO)""",115.7,"28.1 - 147.3 (644)"
08051,"""Gunnison, (CO)""",91.5,"28.1 - 147.3 (644)"
08053,"""Hinsdale, (CO)""",115.2,"28.1 - 147.3 (644)"
08067,"""La Plata, (CO)""",132.5,"28.1 - 147.3 (644)"
08077,"""Mesa, (CO)""",166.3,"147.4 - 167.6 (641)"
08079,"""Mineral, (CO)""",135.2,"28.1 - 147.3 (644)"
08081,"""Moffat, (CO)""",136.4,"28.1 - 147.3 (644)"
08083,"""Montezuma, (CO)""",136.6,"28.1 - 147.3 (644)"
08085,"""Montrose, (CO)""",145.7,"28.1 - 147.3 (644)"
08091,"""Ouray, (CO)""",74.4,"28.1 - 147.3 (644)"
08097,"""Pitkin, (CO)""",54.1,"28.1 - 147.3 (644)"
08103,"""Rio Blanco, (CO)""",132.6,"28.1 - 147.3 (644)"
08107,"""Routt, (CO)""",83.1,"28.1 - 147.3 (644)"
08111,"""San Juan, (CO)""",114.5,"28.1 - 147.3 (644)"
08113,"""San Miguel, (CO)""",43.3,"28.1 - 147.3 (644)"
16001,"""Ada, (ID)""",148.1,"147.4 - 167.6 (641)"
16005,"""Bannock, (ID)""",202.3,"187.0 - 216.6 (634)"
16007,"""Bear Lake, (ID)""",144.7,"28.1 - 147.3 (644)"
16011,"""Bingham, (ID)""",188.8,"187.0 - 216.6 (634)"
16013,"""Blaine, (ID)""",84,"28.1 - 147.3 (644)"
16015,"""Boise, (ID)""",131.6,"28.1 - 147.3 (644)"
16019,"""Bonneville, (ID)""",187.4,"187.0 - 216.6 (634)"
16023,"""Butte, (ID)""",154.1,"147.4 - 167.6 (641)"
16025,"""Camas, (ID)""",108.8,"28.1 - 147.3 (644)"
16027,"""Canyon, (ID)""",179.9,"167.7 - 186.9 (647)"
16029,"""Caribou, (ID)""",180,"167.7 - 186.9 (647)"
16031,"""Cassia, (ID)""",163.6,"147.4 - 167.6 (641)"
16033,"""Clark, (ID)""",157.1,"147.4 - 167.6 (641)"
16037,"""Custer, (ID)""",118.3,"28.1 - 147.3 (644)"
16039,"""Elmore, (ID)""",168.5,"167.7 - 186.9 (647)"
16041,"""Franklin, (ID)""",144.6,"28.1 - 147.3 (644)"
16043,"""Fremont, (ID)""",172.5,"167.7 - 186.9 (647)"
16045,"""Gem, (ID)""",171.2,"167.7 - 186.9 (647)"
16047,"""Gooding, (ID)""",169.2,"167.7 - 186.9 (647)"
16051,"""Jefferson, (ID)""",179.8,"167.7 - 186.9 (647)"
16053,"""Jerome, (ID)""",158.4,"147.4 - 167.6 (641)"
16063,"""Lincoln, (ID)""",164.4,"147.4 - 167.6 (641)"
16065,"""Madison, (ID)""",215.5,"187.0 - 216.6 (634)"
16067,"""Minidoka, (ID)""",144.8,"28.1 - 147.3 (644)"
16071,"""Oneida, (ID)""",175.3,"167.7 - 186.9 (647)"
16073,"""Owyhee, (ID)""",161.8,"147.4 - 167.6 (641)"
16075,"""Payette, (ID)""",182.6,"167.7 - 186.9 (647)"
16077,"""Power, (ID)""",146,"28.1 - 147.3 (644)"
16081,"""Teton, (ID)""",135.6,"28.1 - 147.3 (644)"
16083,"""Twin Falls, (ID)""",158.2,"147.4 - 167.6 (641)"
16087,"""Washington, (ID)""",176.9,"167.7 - 186.9 (647)"
32001,"""Churchill, (NV)""",207.9,"187.0 - 216.6 (634)"
32003,"""Clark, (NV)""",203.4,"187.0 - 216.6 (634)"
32005,"""Douglas, (NV)""",125.8,"28.1 - 147.3 (644)"
32007,"""Elko, (NV)""",158.8,"147.4 - 167.6 (641)"
32009,"""Esmeralda, (NV)""",165.6,"147.4 - 167.6 (641)"
32011,"""Eureka, (NV)""",189.2,"187.0 - 216.6 (634)"
32013,"""Humboldt, (NV)""",182.3,"167.7 - 186.9 (647)"
32015,"""Lander, (NV)""",195.1,"187.0 - 216.6 (634)"
32017,"""Lincoln, (NV)""",171.7,"167.7 - 186.9 (647)"
32019,"""Lyon, (NV)""",182.6,"167.7 - 186.9 (647)"
32021,"""Mineral, (NV)""",185.1,"167.7 - 186.9 (647)"
32023,"""Nye, (NV)""",232.1,"216.7 - 502.5 (641)"
32027,"""Pershing, (NV)""",188,"187.0 - 216.6 (634)"
32029,"""Storey, (NV)""",184.2,"167.7 - 186.9 (647)"
32031,"""Washoe, (NV)""",187.3,"187.0 - 216.6 (634)"
32033,"""White Pine, (NV)""",180.5,"167.7 - 186.9 (647)"
32510,"""Carson City, (NV)""",187.9,"187.0 - 216.6 (634)"
35003,"""Catron, (NM)""",159.2,"147.4 - 167.6 (641)"
35006,"""Cibola, (NM)""",148.8,"147.4 - 167.6 (641)"
35013,"""Do̱a Ana, (NM)""",127.1,"28.1 - 147.3 (644)"
35017,"""Grant, (NM)""",157,"147.4 - 167.6 (641)"
35023,"""Hidalgo, (NM)""",170.3,"167.7 - 186.9 (647)"
35029,"""Luna, (NM)""",188.2,"187.0 - 216.6 (634)"
35031,"""McKinley, (NM)""",138.6,"28.1 - 147.3 (644)"
35043,"""Sandoval, (NM)""",131.5,"28.1 - 147.3 (644)"
35045,"""San Juan, (NM)""",135.7,"28.1 - 147.3 (644)"
35051,"""Sierra, (NM)""",206.4,"187.0 - 216.6 (634)"
35053,"""Socorro, (NM)""",169.4,"167.7 - 186.9 (647)"
35061,"""Valencia, (NM)""",151.1,"147.4 - 167.6 (641)"
41023,"""Grant, (OR)""",148.3,"147.4 - 167.6 (641)"
41025,"""Harney, (OR)""",157.7,"147.4 - 167.6 (641)"
41045,"""Malheur, (OR)""",178.6,"167.7 - 186.9 (647)"
49001,"""Beaver, (UT)""",168.1,"167.7 - 186.9 (647)"
49003,"""Box Elder, (UT)""",179.1,"167.7 - 186.9 (647)"
49005,"""Cache, (UT)""",146.2,"28.1 - 147.3 (644)"
49007,"""Carbon, (UT)""",206.6,"187.0 - 216.6 (634)"
49009,"""Daggett, (UT)""",145.1,"28.1 - 147.3 (644)"
49011,"""Davis, (UT)""",155.6,"147.4 - 167.6 (641)"
49013,"""Duchesne, (UT)""",160.1,"147.4 - 167.6 (641)"
49015,"""Emery, (UT)""",211,"187.0 - 216.6 (634)"
49017,"""Garfield, (UT)""",158.8,"147.4 - 167.6 (641)"
49019,"""Grand, (UT)""",136.2,"28.1 - 147.3 (644)"
49021,"""Iron, (UT)""",130.2,"28.1 - 147.3 (644)"
49023,"""Juab, (UT)""",154.8,"147.4 - 167.6 (641)"
49025,"""Kane, (UT)""",152.4,"147.4 - 167.6 (641)"
49027,"""Millard, (UT)""",129.4,"28.1 - 147.3 (644)"
49029,"""Morgan, (UT)""",154.7,"147.4 - 167.6 (641)"
49031,"""Piute, (UT)""",172.3,"167.7 - 186.9 (647)"
49033,"""Rich, (UT)""",148.8,"147.4 - 167.6 (641)"
49035,"""Salt Lake, (UT)""",147.8,"147.4 - 167.6 (641)"
49037,"""San Juan, (UT)""",117.5,"28.1 - 147.3 (644)"
49039,"""Sanpete, (UT)""",149.7,"147.4 - 167.6 (641)"
49041,"""Sevier, (UT)""",157.3,"147.4 - 167.6 (641)"
49043,"""Summit, (UT)""",126.1,"28.1 - 147.3 (644)"
49045,"""Tooele, (UT)""",153.5,"147.4 - 167.6 (641)"
49047,"""Uintah, (UT)""",182.2,"167.7 - 186.9 (647)"
49049,"""Utah, (UT)""",156.1,"147.4 - 167.6 (641)"
49051,"""Wasatch, (UT)""",153.1,"147.4 - 167.6 (641)"
49053,"""Washington, (UT)""",109.2,"28.1 - 147.3 (644)"
49055,"""Wayne, (UT)""",150.8,"147.4 - 167.6 (641)"
49057,"""Weber, (UT)""",170.3,"167.7 - 186.9 (647)"
56003,"""Big Horn, (WY)""",181,"167.7 - 186.9 (647)"
56007,"""Carbon, (WY)""",159.4,"147.4 - 167.6 (641)"
56013,"""Fremont, (WY)""",168.1,"167.7 - 186.9 (647)"
56017,"""Hot Springs, (WY)""",161.5,"147.4 - 167.6 (641)"
56023,"""Lincoln, (WY)""",160.2,"147.4 - 167.6 (641)"
56025,"""Natrona, (WY)""",155.7,"147.4 - 167.6 (641)"
56029,"""Park, (WY)""",144.7,"28.1 - 147.3 (644)"
56035,"""Sublette, (WY)""",131.5,"28.1 - 147.3 (644)"
56037,"""Sweetwater, (WY)""",180.5,"167.7 - 186.9 (647)"
56039,"""Teton, (WY)""",86,"28.1 - 147.3 (644)"
56041,"""Uinta, (WY)""",172.5,"167.7 - 186.9 (647)"
