"cnty_fips","display_name","Value","theme_range"
35006,"""Cibola, (NM)""",36.6,"32.7 - 37.1 (650)"
35013,"""Do̱a Ana, (NM)""",34,"32.7 - 37.1 (650)"
35017,"""Grant, (NM)""",29.4,"0.0 - 32.6 (652)"
35023,"""Hidalgo, (NM)""",33.2,"32.7 - 37.1 (650)"
35029,"""Luna, (NM)""",36.3,"32.7 - 37.1 (650)"
35031,"""McKinley, (NM)""",37.1,"32.7 - 37.1 (650)"
35043,"""Sandoval, (NM)""",38.2,"37.2 - 40.7 (628)"
35045,"""San Juan, (NM)""",38.2,"37.2 - 40.7 (628)"
35051,"""Sierra, (NM)""",35.1,"32.7 - 37.1 (650)"
35053,"""Socorro, (NM)""",32.1,"0.0 - 32.6 (652)"
35061,"""Valencia, (NM)""",35.9,"32.7 - 37.1 (650)"
41023,"""Grant, (OR)""",39.9,"37.2 - 40.7 (628)"
41025,"""Harney, (OR)""",38,"37.2 - 40.7 (628)"
41045,"""Malheur, (OR)""",35.8,"32.7 - 37.1 (650)"
49001,"""Beaver, (UT)""",39.2,"37.2 - 40.7 (628)"
49003,"""Box Elder, (UT)""",43.6,"40.8 - 46.1 (652)"
49005,"""Cache, (UT)""",30.8,"0.0 - 32.6 (652)"
49007,"""Carbon, (UT)""",35.8,"32.7 - 37.1 (650)"
49009,"""Daggett, (UT)""",30.9,"0.0 - 32.6 (652)"
49011,"""Davis, (UT)""",38.5,"37.2 - 40.7 (628)"
49013,"""Duchesne, (UT)""",34.1,"32.7 - 37.1 (650)"
49015,"""Emery, (UT)""",33.4,"32.7 - 37.1 (650)"
49017,"""Garfield, (UT)""",37.4,"37.2 - 40.7 (628)"
49019,"""Grand, (UT)""",33.3,"32.7 - 37.1 (650)"
49021,"""Iron, (UT)""",34.7,"32.7 - 37.1 (650)"
49023,"""Juab, (UT)""",36.7,"32.7 - 37.1 (650)"
49025,"""Kane, (UT)""",33.3,"32.7 - 37.1 (650)"
49027,"""Millard, (UT)""",38.8,"37.2 - 40.7 (628)"
49029,"""Morgan, (UT)""",38.6,"37.2 - 40.7 (628)"
49031,"""Piute, (UT)""",38.8,"37.2 - 40.7 (628)"
49033,"""Rich, (UT)""",34.8,"32.7 - 37.1 (650)"
49035,"""Salt Lake, (UT)""",38.3,"37.2 - 40.7 (628)"
49037,"""San Juan, (UT)""",34.9,"32.7 - 37.1 (650)"
49039,"""Sanpete, (UT)""",36.8,"32.7 - 37.1 (650)"
49041,"""Sevier, (UT)""",40.7,"37.2 - 40.7 (628)"
49043,"""Summit, (UT)""",36.5,"32.7 - 37.1 (650)"
