state,cases,deaths,Population,Population..20..,Population..65..,mask_ratio,home_ratio,Fatality_Rate,Diabetes_Diagnosed_Perc,Asthma_Deaths_Perc,Obesity_Perc,Stroke_Death_Perc,Heart_Disease_Death_Perc,Smoker_Perc,Chronic_Respiratory_Disease_Death_Perc,Unemployment_Perc,Minority_Percentage,Crowding_Perc,Multi_Unit_Perc,Poverty_Perc,Senior_Perc,ICUBeds,ICUBedsPer10000,HouseholdIncome
Georgia,949224,16707,9588781,7021464,1299143,0,0.08974358974358974,0.01760069277641526,0.08520123673697418,1.3114839102071473e-5,0.3223128585374929,4.386980639144851e-4,0.0017349717421849555,0.17530461811633444,5.940853941705415e-4,0.06412362040597236,0.48641674963689335,0.02328418878270345,0.11568337497748671,0.16034994302195452,0.13548573066795455,2703,2.6,58700
Hawaii,30426,464,1420403,1086697,260930,0.3884297520661157,0.21474358974358973,0.015250115033195294,0.08524904551736373,1.5333834975003574e-5,0.24581012853394424,3.671938865237542e-4,0.001277701635380945,0.1560028529226017,2.7781793828934463e-4,0.045229322241645505,0.7785164294921934,0.09066193890043882,0.25252526501281675,0.09925388921313176,0.18370138615590081,219,1.6,81275
Idaho,172592,1849,1648993,1185024,259708,0,0.11858974358974358,0.010713126912023732,0.06461155383922187,1.2054832312811517e-5,0.28793464435567645,3.718126972036873e-4,0.0016181805974919239,0.17232113707743454,5.834000720439686e-4,0.046592596208716475,0.17749875226880887,0.0260859864171649,0.06220978196996591,0.13858679873110438,0.15749490749809125,333,1.9,55785
Illinois,1226070,22796,12370759,9281859,1930315,0.9366391184573003,0.22115384615384615,0.01859273940313359,0.07474116988294736,1.491433636367825e-5,0.2972325645500006,3.8280332928642454e-4,0.001634992385915852,0.1727430084285344,4.883921728650603e-4,0.06618860976921465,0.3909426618851761,0.025741969510520737,0.1483489021975127,0.13168219621770982,0.15603852601121726,3426,2.8,65886
Indiana,667987,12557,6409751,4724669,1000904,0.696969696969697,0.17307692307692307,0.018798270026213086,0.08844243715551509,1.2035532378714866e-5,0.33731303306477894,3.9843909287583875e-4,0.0018058222158707882,0.22158650860366075,6.927496208511064e-4,0.05472992991459419,0.21211270718628542,0.017547484293851664,0.08220823523409879,0.1424686782684694,0.15615333575360416,2358,3.6,56303
Iowa,338064,5514,3019688,2233104,514325,0.22589531680440772,0,0.016310521084765016,0.07283335231984231,1.0968045175528068e-5,0.3419958389740927,3.152135707397585e-4,0.0016173130045223215,0.18288057121943738,5.847867716797232e-4,0.03923628798736823,0.14227223441627082,0.016854117379013992,0.10104394791779814,0.11843482339897368,0.1703238877658884,622,2,60523
Kansas,300389,3850,2855377,2082158,450592,0.7493112947658402,0.11217948717948718,0.012816714327089208,0.07575146819491788,1.0938591681588806e-5,0.3287818512231485,3.708603070627802e-4,0.0015589141370824238,0.1818103601450329,6.249405948846685e-4,0.04370445829044641,0.24156919839306681,0.021515560292038494,0.08632816262090785,0.12421130799890874,0.1578047312141269,878,3.1,59597
Kentucky,377229,5357,3829332,2861329,620304,0.743801652892562,0,0.01420092304674349,0.092814621453559,1.0735139366343791e-5,0.3417509069466946,4.017959646747788e-4,0.0019592252612204947,0.23360068846627874,7.55208562485572e-4,0.061878098059922726,0.16716033945346082,0.019474241982674785,0.07266334493849057,0.17682939165368788,0.16198752158339888,1447,3.3,50589
Louisiana,434247,9856,4530405,3352314,699351,0.6666666666666666,0.16987179487179488,0.022696760138815004,0.09618014283491211,1.2907602808137462e-5,0.36235059845642936,4.704844973021176e-4,0.0021338876281480354,0.22700186300214908,5.861924055354875e-4,0.06951271641277104,0.4094201284432628,0.023571095740888507,0.07353688842388263,0.19421479955986276,0.15436831806427903,1518,3.4,49469
Maine,51249,740,1302770,1027706,268118,0.9366391184573003,0.1891025641025641,0.01443930613280259,0.08203596951111862,8.767710877591594e-6,0.29999049410103085,3.537497854571413e-4,0.0014614905462975046,0.1925048075601797,6.108532772477106e-4,0.04750566024701214,0.06674943236334886,0.015389136225120321,0.052104388341764084,0.1253104346891623,0.2058060901003247,288,2.2,57918
Maryland,414338,8240,5959163,4484699,916264,0.9724517906336089,0.14743589743589744,0.01988714527752704,0.08290090403635544,1.2726495365204812e-5,0.31545518892502183,4.021416844949534e-4,0.001623647583561651,0.14394966643304924,4.0384372268387355e-4,0.05632933182059292,0.4892749537141374,0.022673417894425778,0.1724929074771071,0.09454339124471005,0.15375716354796806,1227,2.1,84805
Massachusetts,606755,17313,6902149,5327430,1139100,0.9228650137741047,0.1762820512820513,0.028533757447404638,0.06683020027530556,8.963979740222936e-6,0.2502908996893576,2.678754302464348e-4,0.0013306065037135535,0.1547829714979193,4.3843510187913933e-4,0.05394832377568204,0.2786908336809304,0.01988452379106855,0.1567167928423452,0.10800158081200507,0.1650355563173151,1555,2.3,81215
Michigan,768615,16978,9808758,7411648,1662944,0.43526170798898073,0.22115384615384615,0.022089082310389467,0.08236261920214567,1.1648294626088237e-5,0.3237785088591236,3.9345449964205457e-4,0.001968398302618945,0.20816083039946268,5.546231903162459e-4,0.0659550004190133,0.2509328229934921,0.016677095306052,0.09210677080625294,0.14982616463776555,0.16953665285655942,2749,2.8,57144
Minnesota,512449,6671,5442222,4044587,863378,0.7024793388429752,0.16346153846153846,0.013017880803748275,0.06257352235906584,1.1819522742732657e-5,0.28942434615860946,3.2477309268162896e-4,0.0011420652643350454,0.1662432877196412,4.7240406087807515e-4,0.03953856053648675,0.20074230856440625,0.02250499538607576,0.16238364623861357,0.10136798553972991,0.15864439194137983,1277,2.3,71306
Mississippi,297466,6822,2909479,2137752,460856,0.15426997245179064,0.07692307692307693,0.02293371343279568,0.1069662300363742,1.6301050531727503e-5,0.39073666763018394,5.080258747356486e-4,0.0022691947726723584,0.22003001362645927,7.004979166373086e-4,0.08277409529334977,0.4289243871497268,0.026919804198621125,0.0472066191232176,0.20663184267698786,0.15839811870097706,931,3.2,45081
Missouri,482395,7484,5508643,4128390,908436,0,0.08974358974358974,0.015514256988567461,0.08508901375529328,1.213761496252344e-5,0.3252451266128518,3.9546388375503734e-4,0.001872301250053779,0.2066540051320325,6.225041192540522e-4,0.051686024307619864,0.2177181679771225,0.016182310416558127,0.08618610173140645,0.13966195249900928,0.1649110316279345,2092,3.5,55461
Montana,103956,1452,1043488,792269,194516,0.5840220385674931,0.09294871794871795,0.013967447766362691,0.0669705832745561,1.2096244614216934e-5,0.271496210785366,3.3172753304302495e-4,0.0015837479463108345,0.19684905697198166,6.497355762596215e-4,0.0437694223603913,0.13731077597442423,0.02142074178141004,0.05963561248428348,0.13717217639302032,0.18640942684534945,248,2.4,54970
Nebraska,201688,2137,1830761,1326812,284390,0,0,0.010595573360834557,0.0713430098194139,1.6668859998656297e-5,0.3312241592430689,3.235017104908833e-4,0.0014117667150436348,0.16877986888462942,6.439031850689412e-4,0.03565545584595695,0.20943930529435573,0.019995534643790204,0.12462278364024579,0.11606049014590107,0.155339774006547,548,2.9,61439
Nevada,305490,5294,3027534,2273004,474283,0.7823691460055097,0.125,0.017329536155029624,0.07674728012963686,1.0336693031358194e-5,0.2712391461169388,3.619236817819387e-4,0.001983876794777532,0.18044796206611774,6.451767197329576e-4,0.06916786962590676,0.5026111379756594,0.04152075979988994,0.14677682232470388,0.13641176746487405,0.15665653961276735,1118,3.7,60365
New Hampshire,84965,1243,1356458,1061833,245645,0.3774104683195592,0.2564102564102564,0.014629553345495204,0.07467905382990112,8.278750097680872e-6,0.2864087351027455,2.749916982317182e-4,0.0014940685933512133,0.16117870369664097,5.557614846902742e-4,0.04015739447885596,0.09594731794128532,0.014680021054835462,0.10147761670468235,0.07903897208759873,0.18109296417581672,252,1.9,76768
New Jersey,928950,24649,8908520,6739901,1438527,1,0.2564102564102564,0.026534259109747563,0.07474844306349428,1.0825298983445061e-5,0.2703163877950546,3.0251137102459217e-4,0.0016187889717932944,0.1515838932897068,3.962255467799365e-4,0.06119307718902803,0.44191046324193023,0.03189713779617714,0.1578499628445578,0.10392000994553528,0.16147766407888178,1882,2.2,82545
New Mexico,180882,3746,1949615,1448140,337424,0.8980716253443526,0.9839743589743589,0.020709633904976724,0.06892848075132782,1.1425180304829416e-5,0.2715449086101615,3.4623121436796496e-4,0.0015128521195210338,0.1731079704605657,5.582153876534597e-4,0.07261040410542595,0.6177487180802363,0.037328335594463524,0.07060493994968238,0.19791082495774806,0.1730721193671571,460,2.2,49754
New York,1035068,18451,10947479,8338858,1927183,0.9752066115702479,0.3108974358974359,0.017825881971039584,0.07652739046131077,9.112296867616737e-6,0.28574248336078106,2.8023328941759103e-4,0.001696498729524852,0.17147440421711924,4.6190171545430693e-4,0.053091407985345306,0.26556705091647126,0.022234621779132897,0.09593951749073919,0.11375835158030448,0.17603897664475995,4420,2.3,68486
North Carolina,897564,11702,10012851,7507942,1612122,0.7823691460055097,0.16987179487179488,0.013037510417084465,0.0842936741992865,1.2559717137506591e-5,0.32174949632227623,4.220872351940521e-4,0.0015366889882811598,0.1928611582984627,5.887029165819005e-4,0.06361379880715293,0.3679580849650115,0.023357200361815034,0.09270370806476598,0.15338839127836817,0.16100529209912343,3168,3.2,54602
North Dakota,96474,1330,696487,513490,103668,0.1790633608815427,0,0.013786097808736032,0.06786630619092675,1.2381177825286042e-5,0.33873585723782357,3.310632115172286e-4,0.0013627020217175626,0.19151229679211587,4.940204023908558e-4,0.02912602819578829,0.15143629529337949,0.021475985912156294,0.22274423356071257,0.10829425674851074,0.14884412774394928,278,3.8,64894
Ohio,1006060,18192,11442746,8600700,1947733,0.7079889807162535,0.18269230769230768,0.018082420531578634,0.09113162172786148,1.104409663554535e-5,0.3340197605539789,4.2439684477834256e-4,0.001861153202037343,0.22015290359947848,6.279964256831359e-4,0.05850782251043587,0.21178269883819845,0.013503820411638955,0.09553830697631496,0.14523217652476075,0.17021552344166338,3622,3.2,56602
Oklahoma,432733,4872,3900060,2847631,609881,0,0,0.01125867451754315,0.08924221678640841,1.2681960585221765e-5,0.3442049571032241,4.2061396183648456e-4,0.0022763926431901044,0.21283202486975727,7.688750755116588e-4,0.053801961508284486,0.3402023191950893,0.02762151838689661,0.07443449690517583,0.15939357138095311,0.1563773377845469,1164,3.1,52919
Oregon,165670,2384,4133368,3173726,727427,0.768595041322314,0.28205128205128205,0.014390052514033923,0.07313164470233476,1.3902496124226056e-5,0.29279086328630793,3.870347798695882e-4,0.0013032832866563056,0.17304077922795097,5.370107304745186e-4,0.06085271768688392,0.24126235941246946,0.03330846733220947,0.12466033196173193,0.14145946840445855,0.17598892718964293,837,2,62818
Pennsylvania,1041620,24939,12621902,9668730,2297116,0.768595041322314,0.20833333333333334,0.02394251262456558,0.08351522615212827,1.0633960079867518e-5,0.30729901586939906,3.6750892424929304e-4,0.0017623127666495904,0.19571199769697922,4.957309338164723e-4,0.05881458412527684,0.23437673101882742,0.0143975975253175,0.0892386592765496,0.1280113894086644,0.18199444109136642,3643,2.9,61744
Rhode Island,120338,2459,1008666,780157,172658,0.9173553719008265,0.1346153846153846,0.02043411058850903,0.07875649620389703,7.429912379320805e-6,0.288103135230096,2.923742933736242e-4,0.0015826381874674074,0.17378640838342455,4.758280967138776e-4,0.06304966857215372,0.2834118974962971,0.0185590998407798,0.12551127132271733,0.1339530885347578,0.1711746009085267,279,2.8,67167
South Carolina,530248,8752,4756777,3597092,847049,0,0.08653846153846154,0.01650548422624885,0.0980695542380902,1.5472839004224918e-5,0.3370985946997305,4.500996439395835e-4,0.0017124452144803089,0.18849950552283182,6.333610890315018e-4,0.06506710026557898,0.3574299577213731,0.018789589463622112,0.08349197534380948,0.15996359930263707,0.17807204331840656,1459,3,53199
South Dakota,107472,1671,799465,584491,133728,0,0,0.015548235819562304,0.07059095770296386,1.2971125064887142e-5,0.32123821055330753,3.4039059996372577e-4,0.0015430363030276499,0.18806982841460052,5.432881276853897e-4,0.03270321277354231,0.15700649059058244,0.018414962506176007,0.11799502167074231,0.12578176905805757,0.16727186305842032,150,1.8,58275
Tennessee,758125,11017,6470820,4864059,1049315,0,0.08653846153846154,0.014531904369332235,0.09221675150908232,1.191703471893825e-5,0.33131218315453065,4.523637426168554e-4,0.0019706648333596053,0.2264064831460784,6.496234865133012e-4,0.05897160143536677,0.26357556476613475,0.019737703567708577,0.08630619334180212,0.15972308146417302,0.16216105532220026,2309,3.5,53320
Texas,2742863,47219,27932132,19933055,3453455,0.6887052341597796,0,0.017215223654991153,0.07109604093235704,1.0470276500912998e-5,0.31334939237720916,4.1350799903136645e-4,0.0016443663224848,0.15906630190307533,5.067421058657463e-4,0.054433309995814146,0.5807948488142617,0.04874046345620879,0.15489212982381725,0.15359086291730256,0.12363735786441221,7149,2.6,61874
Utah,383846,2110,3131467,2113435,345671,0.05785123966942149,0,0.005496996191180838,0.0493133090656871,1.4224113458644142e-5,0.26988268054557174,3.724249426866066e-4,0.001508991983948737,0.10263318905277465,4.5082312603006837e-4,0.0392525203043813,0.2147747624356252,0.03594527421173527,0.11224907878639627,0.10378353819471832,0.1103862822121389,687,2.2,71621
Vermont,19966,226,612959,478583,118134,0.6831955922865014,0.16666666666666666,0.011319242712611439,0.06796865695748003,1.0724387438637822e-5,0.2688027404769324,2.907908245086539e-4,0.001500473344872985,0.15610955616787373,5.486764873343894e-4,0.040461185821563925,0.07088150104656266,0.018460970472739615,0.06493131840791962,0.11184503857517389,0.1927274091741862,94,1.6,61973
Virginia,512064,8323,6987216,5228641,1021074,0.859504132231405,0.19230769230769232,0.01625382764654418,0.07629648203232875,1.2150103646430855e-5,0.2992070279493292,3.700523995536992e-4,0.0014292769744058292,0.16526982218172756,4.756316225231909e-4,0.05081091625047802,0.39911587948619304,0.02031720774053643,0.13983832802649868,0.10575604260695533,0.14613459781406501,2007,2.5,74222
Washington,368800,5315,7476334,5652275,1152763,0.7823691460055097,0.22435897435897437,0.014411605206073753,0.06888977940257886,1.0886051372236713e-5,0.28633097558241777,3.5885088935299036e-4,0.0013669459692410746,0.13490197690089503,5.015083474066301e-4,0.05426483126623288,0.309273547703995,0.03334450333545826,0.1584336670887095,0.11469794527638814,0.1541882692774293,1493,2,73775
West Virginia,129820,2412,1630954,1260637,321348,0.7520661157024794,0.1346153846153846,0.01857957171468187,0.11712102242000694,1.1251143134631634e-5,0.3777747385885807,4.138036400781383e-4,0.0019247969366395373,0.25664549394172337,8.097473938566018e-4,0.0680351211622155,0.08268682501161896,0.014848775624573103,0.04652326797690186,0.17676668379365698,0.19703069491843425,643,3.7,46711
Wisconsin,625562,7129,5683383,4281706,958677,0.6666666666666666,0.15705128205128205,0.011396152579600423,0.07090424840275589,1.0903624126686517e-5,0.31717705810078256,3.31614564072138e-4,0.001567265876855387,0.1843911241153681,5.065378477924151e-4,0.040775078329227506,0.18595008905787275,0.016883144950815387,0.1132171729408347,0.11873952978358136,0.16868069598687965,1506,2.7,61747
Wyoming,55812,693,567924,421140,93464,0.26721763085399447,0,0.012416684583960438,0.06639444714433622,1.1013641790098675e-5,0.29251500200731084,3.133600516970581e-4,0.0015438845708228566,0.1945124263111191,7.293391545347617e-4,0.045441266789218275,0.15942126059120587,0.022418013677886477,0.059268690881174244,0.11236373528852452,0.16457131588029383,102,1.8,64049
